iter	CrossEntropy
0	0.6568835805
1	0.6202580448
2	0.5903856344
3	0.5674558051
4	0.5464607595
5	0.5284736217
6	0.513734082
7	0.502997835
8	0.492513836
9	0.4841542899
10	0.4759186368
11	0.4701968067
12	0.465788496
13	0.4610393007
14	0.4571527669
15	0.4546619193
16	0.4516850266
17	0.4488323494
18	0.4462596772
19	0.4431737251
20	0.4413759748
21	0.4391230227
22	0.4371510297
23	0.4357309576
24	0.4338547081
25	0.4329813746
26	0.4315207276
27	0.4299508934
28	0.42889942
29	0.427673562
30	0.4273727865
31	0.4264780275
32	0.4256390458
33	0.4247904695
34	0.4241712831
35	0.4232427728
36	0.4223294401
37	0.4216982035
38	0.4208306495
39	0.420383802
40	0.4201260371
41	0.419493868
42	0.4187974196
43	0.418199216
44	0.4180261077
45	0.4172004147
46	0.4166279941
47	0.4165564675
48	0.4164117926
49	0.4163596601
50	0.4161234462
51	0.4156075649
52	0.4154465921
53	0.4151028651
54	0.4147897828
55	0.4143175199
56	0.4134887718
57	0.4131456507
58	0.4124257564
59	0.4121389883
60	0.4117508197
61	0.4112798255
62	0.41068937
63	0.4102271178
64	0.4098195967
65	0.4098098431
66	0.4094321736
67	0.4093320511
68	0.4091554674
69	0.4085344404
70	0.4084765428
71	0.4079923567
72	0.4077550809
73	0.4068251156
74	0.4067805461
75	0.4066282371
76	0.4065121104
77	0.4065047973
78	0.4057772522
79	0.4055435944
80	0.4054824595
81	0.4053805729
82	0.4053730078
83	0.4053599141
84	0.4050318869
85	0.4045076639
86	0.4040553901
87	0.4036185863
88	0.4033811963
89	0.4032783726
90	0.4029621213
91	0.4026228589
92	0.4026102445
93	0.4023835476
94	0.4017616384
95	0.4017590372
96	0.4015697808
97	0.4012699633
98	0.401178719
99	0.4011351674
100	0.4006398747
101	0.4001339409
102	0.4000127721
103	0.3998768932
104	0.3998155125
105	0.3996642159
106	0.399361784
107	0.3991824167
108	0.3987609294
109	0.3983507303
110	0.3980217818
111	0.3979714292
112	0.3974229336
113	0.3973165592
114	0.3967514515
115	0.3959048883
116	0.3953207473
117	0.3945590827
118	0.3942084744
119	0.3941564243
120	0.3938418263
121	0.3936350463
122	0.3932225832
123	0.3929995648
124	0.3925168593
125	0.3922361617
126	0.3916141226
127	0.3914271775
128	0.3908528632
129	0.39058918
130	0.3900238117
131	0.3896409087
132	0.3896262035
133	0.389229236
134	0.3890232876
135	0.388676072
136	0.3883327874
137	0.3881447985
138	0.3876702706
139	0.3872080339
140	0.3870551808
141	0.3864475627
142	0.3858001938
143	0.385537668
144	0.3850503314
145	0.38483143
146	0.3845507578
147	0.3843059939
148	0.3841889394
149	0.3839269631
150	0.383133913
151	0.3830466276
152	0.3827174877
153	0.3823262252
154	0.381706653
155	0.3814910761
156	0.3811660801
157	0.3806295098
158	0.3800989038
159	0.3798929017
160	0.3794802392
161	0.3794069502
162	0.3792715641
163	0.3787932698
164	0.3784315353
165	0.3777360542
166	0.3773622622
167	0.3772570937
168	0.377165703
169	0.377148321
170	0.3771096589
171	0.3768249589
172	0.3764302852
173	0.3758944925
174	0.3756311772
175	0.3755717804
176	0.3751195254
177	0.3748699403
178	0.3746054544
179	0.3744391481
180	0.3741427169
181	0.3735728482
182	0.373289426
183	0.3731102399
184	0.3728846633
185	0.3726154379
186	0.3721772007
187	0.3719725061
188	0.3714022385
189	0.3712684893
190	0.3711261365
191	0.3709025347
192	0.3707790359
193	0.3705703021
194	0.3704850508
195	0.3703195064
196	0.3696718769
197	0.3696204863
198	0.3695324109
199	0.3693891243
