iter	Passed	Remaining
0	10	2013
1	23	2277
2	32	2144
3	42	2101
4	52	2036
5	61	1992
6	71	1962
7	80	1925
8	89	1904
9	99	1893
10	108	1867
11	117	1842
12	124	1793
13	133	1772
14	141	1740
15	147	1700
16	155	1677
17	165	1673
18	174	1659
19	183	1653
20	192	1640
21	201	1627
22	210	1618
23	219	1606
24	228	1598
25	237	1592
26	247	1585
27	256	1578
28	265	1568
29	274	1557
30	280	1526
31	288	1516
32	297	1505
33	307	1498
34	316	1493
35	325	1480
36	335	1475
37	344	1468
38	354	1461
39	364	1456
40	372	1444
41	382	1438
42	391	1430
43	400	1420
44	410	1413
45	419	1405
46	429	1397
47	434	1376
48	444	1370
49	449	1348
50	458	1339
51	468	1333
52	477	1324
53	486	1315
54	496	1308
55	505	1300
56	515	1292
57	525	1285
58	534	1277
59	544	1269
60	553	1260
61	563	1254
62	573	1246
63	582	1236
64	591	1228
65	596	1211
66	606	1204
67	616	1196
68	625	1187
69	635	1179
70	640	1164
71	649	1154
72	659	1146
73	668	1137
74	673	1121
75	682	1113
76	690	1103
77	696	1089
78	705	1080
79	714	1072
80	724	1064
81	733	1055
82	740	1044
83	750	1035
84	759	1027
85	768	1018
86	777	1010
87	787	1002
88	799	996
89	808	988
90	817	979
91	827	971
92	833	959
93	843	951
94	852	942
95	858	930
96	867	921
97	877	913
98	887	904
99	896	896
100	907	889
101	916	880
102	925	871
103	935	863
104	944	854
105	953	845
106	963	837
107	973	829
108	983	821
109	992	812
110	1001	803
111	1012	795
112	1022	787
113	1033	779
114	1042	770
115	1051	761
116	1061	752
117	1070	744
118	1080	735
119	1090	726
120	1099	717
121	1109	709
122	1119	700
123	1128	691
124	1137	682
125	1147	673
126	1156	664
127	1165	655
128	1175	646
129	1184	637
130	1194	628
131	1206	621
132	1216	612
133	1225	603
134	1235	595
135	1245	586
136	1254	576
137	1263	567
138	1272	558
139	1282	549
140	1293	541
141	1302	532
142	1312	523
143	1322	514
144	1331	505
145	1341	496
146	1351	487
147	1361	478
148	1371	469
149	1380	460
150	1389	451
151	1399	441
152	1409	432
153	1419	424
154	1429	415
155	1439	405
156	1449	396
157	1459	387
158	1468	378
159	1477	369
160	1488	360
161	1497	351
162	1507	342
163	1516	332
164	1526	323
165	1535	314
166	1544	305
167	1555	296
168	1563	286
169	1574	277
170	1583	268
171	1594	259
172	1604	250
173	1613	241
174	1623	231
175	1633	222
176	1642	213
177	1652	204
178	1662	195
179	1672	185
180	1682	176
181	1691	167
182	1701	158
183	1710	148
184	1719	139
185	1729	130
186	1739	120
187	1749	111
188	1758	102
189	1767	93
190	1777	83
191	1787	74
192	1797	65
193	1806	55
194	1816	46
195	1825	37
196	1835	27
197	1845	18
198	1855	9
199	1864	0
